"Time";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"cd/o/X";"cd/o/Y";"cd/a/X";"cd/a/Y";"cd/b/X";"cd/b/Y";"ep/o/X";"ep/o/Y";"ep/a/X";"ep/a/Y";"ep/b/X";"ep/b/Y";"cou/o/X";"cou/o/Y";"cou/a/X";"cou/a/Y";"cou/b/X";"cou/b/Y";"cd/o/X";"cd/o/Y";"cd/a/X";"cd/a/Y";"cd/b/X";"cd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"Angle 183/o/X";"Angle 183/o/Y";"Angle 183/a/X";"Angle 183/a/Y";"Angle 183/b/X";"Angle 183/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y"
"1,792";"-114";"460";"-260,2927";"215,1921";"-105,8497";"517,7092";"-262,6573";"215,2448";"-534,9464";"116,6003";"-158";"381";"-536,6003";"116,6003";"-541";"-192";"-260,1398";"217,7622";"-484,1958";"-127,1329";"-489,2308";"-41,53851";"-757";"-91";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,833";"-119";"459";"-253,9239";"219,9687";"-109,8302";"516,1171";"-255,1049";"217,7622";"-543,2159";"119,9081";"-160";"381";"-540";"117";"-544";"-191";"-262,6573";"215,2448";"-481,6783";"-139,7203";"-484,1958";"-49,09088";"-759";"-90";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,875";"-122";"459";"-263,4771";"214,396";"-115,4028";"518,5054";"-262,6573";"215,2448";"-541,562";"118,2542";"-163";"381";"-541";"118";"-546";"-190";"-262,6573";"215,2448";"-491,7483";"-139,7203";"-496,7832";"-49,09088";"-762";"-90";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,917";"-125";"459";"-257,9044";"227,1335";"-121,7716";"517,7092";"-257,6224";"227,8322";"-543,2159";"119,9081";"-164";"380";"-542";"118";"-549";"-189";"-257,6224";"225,3147";"-494,2657";"-134,6853";"-501,8182";"-46,57343";"-765";"-90";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,958";"-129";"458";"-259,4966";"219,9687";"-123,3638";"515,321";"-262,6573";"217,7622";"-543,2159";"119,9081";"-164";"379";"-544";"118";"-552";"-189";"-260,1398";"220,2797";"-491,7483";"-134,6853";"-496,7832";"-41,53851";"-767";"-89";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2";"-131";"459";"-259,4966";"210,4155";"-127,3443";"514,5249";"-260,1398";"210,2098";"-546,5237";"119,9081";"-166";"379";"-546";"118";"-555";"-188";"-260,1398";"210,2098";"-491,7483";"-132,1678";"-499,3007";"-44,05603";"-770";"-89";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,042";"-133";"459";"-273,0302";"228,7257";"-130";"513";"-275,2448";"227,8322";"-551,4854";"118,2542";"-168";"379";"-549";"118";"-557";"-187";"-272,7273";"230,3496";"-496,7832";"-134,6853";"-499,3007";"-44,05603";"-772";"-88";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,083";"-134";"460";"-274,6224";"227,9297";"-131,3248";"514,5249";"-280,2797";"227,8322";"-553,1394";"116,6003";"-170";"380";"-552";"118";"-558";"-186";"-275,2448";"227,8322";"-524,4755";"-134,6853";"-529,5105";"-49,09088";"-774";"-89";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,125";"-135";"459";"-273,8263";"233,5023";"-133";"513";"-275,2448";"232,8671";"-553,1394";"116,6003";"-171";"380";"-555,5175";"120,5175";"-560";"-185";"-270,2098";"235,3846";"-519,4406";"-137,2028";"-516,9231";"-33,98602";"-775";"-88";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,167";"-137";"458";"-281,7873";"220,7648";"-134";"513";"-282,7972";"220,2797";"-553,1394";"121,562";"-172";"379";"-553";"119";"-561";"-184";"-280,2797";"222,7972";"-509,3706";"-124,6154";"-514,4056";"-33,98602";"-776";"-86";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,208";"-137";"458";"-273,8263";"219,1726";"-134";"513";"-275,2448";"217,7622";"-556,4472";"116,6003";"-172";"379";"-555";"116,3461";"-562";"-184";"-275,2448";"222,7972";"-516,9231";"-137,2028";"-516,9231";"-54,12592";"-776";"-85";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,25";"-137";"458";"-273,0302";"235,8906";"-134";"513";"-272,7273";"235,3846";"-554,7933";"116,6003";"-172";"378";"-555";"118";"-563";"-183";"-272,7273";"237,9021";"-532,028";"-139,7203";"-524,4755";"-44,05603";"-777";"-86";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,292";"-137";"458";"-284,9717";"232,7062";"-134";"513";"-285,3147";"232,8671";"-554,7933";"118,2542";"-172";"378";"-555";"118";"-563";"-183";"-282,7972";"235,3846";"-524,4755";"-132,1678";"-524,4755";"-46,57343";"-777";"-84";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,333";"-137";"458";"-278,6029";"230,3179";"-134";"513";"-277,7622";"230,3496";"-554,7933";"118,2542";"-171";"377";"-554";"119";"-564";"-182";"-277,7622";"227,8322";"-519,4406";"-129,6503";"-519,4406";"-39,021";"-778";"-85";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,375";"-137";"459";"-284,1756";"222,357";"-134";"513";"-287,8322";"220,2797";"-554,7933";"121,562";"-171";"377";"-554";"119";"-564";"-182";"-282,7972";"222,7972";"-516,9231";"-132,1678";"-524,4755";"-41,53851";"-778";"-85";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,417";"-137";"459";"-281,7873";"228,7257";"-134";"513";"-282,7972";"227,8322";"-556,4472";"119,9081";"-171";"377";"-555";"118";"-564";"-182";"-280,2797";"227,8322";"-511,8881";"-134,6853";"-516,9231";"-31,46851";"-777";"-83";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,458";"-137";"460";"-280,9912";"219,1726";"-135";"512";"-282,7972";"217,7622";"-554,7933";"119,9081";"-171";"377";"-553";"119";"-564";"-182";"-280,2797";"220,2797";"-509,3706";"-129,6503";"-519,4406";"-41,53851";"-777";"-84";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,5";"-138";"458";"-281,7873";"213,5999";"-133,7131";"517,7092";"-282,7972";"212,7273";"-556,4472";"116,6003";"-172";"377";"-554";"118";"-564";"-182";"-280,2797";"215,2448";"-511,8881";"-134,6853";"-524,4755";"-41,53851";"-777";"-84";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,542";"-138";"458";"-269,8458";"228,7257";"-136,8975";"516,1171";"-270,2098";"227,8322";"-549,8315";"119,9081";"-173";"377";"-552";"118";"-564";"-182";"-270,2098";"230,3496";"-509,3706";"-127,1329";"-516,9231";"-39,021";"-776";"-84";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,583";"-138";"458";"-273,8263";"213,5999";"-133,7131";"523,282";"-275,2448";"215,2448";"-551,4854";"118,2542";"-172";"375";"-550";"118";"-563";"-183";"-272,7273";"212,7273";"-511,8881";"-124,6154";"-519,4406";"-49,09088";"-776";"-85";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,625";"-139";"458";"-274";"214";"-134,5092";"518,5054";"-272,7273";"217,7622";"-551,4854";"116,6003";"-173";"375";"-550";"118";"-563";"-183";"-270,2098";"217,7622";"-514,4056";"-139,7203";"-521,958";"-51,6084";"-775";"-84";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,667";"-139";"459";"-261,0887";"217,5804";"-136,8975";"519,3015";"-262,6573";"215,2448";"-551,4854";"118,2542";"-172";"375";"-550";"118";"-562";"-183";"-262,6573";"220,2797";"-526,6769";"-108,3307";"-524,4755";"-31,46851";"-718,5299";"-30,59723";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,708";"-140";"458";"-265,8654";"228,7257";"-136,8975";"520,8937";"-267,6923";"227,8322";"-548,1776";"118,2542";"-172";"375";"-550";"118";"-561";"-182";"-262,6573";"230,3496";"-521,958";"-122,0979";"-516,9231";"-41,53851";"-718,5299";"-35,55902";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,75";"-140";"459";"-251,5356";"243,0555";"-137,6936";"518,5054";"-252,1287";"243,951";"-551,4854";"118,2542";"-172";"375";"-551";"118";"-561";"-182";"-255,4365";"243,951";"-514,4056";"-112,028";"-516,9231";"-31,46851";"-720,1838";"-23,98163";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,792";"-141";"458";"-252";"244";"-139,2858";"520,8937";"-255,4365";"238,9893";"-553,1394";"118,2542";"-172";"375";"-551";"118";"-561";"-182";"-255,4365";"238,9893";"-489,2308";"-132,1678";"-491,7483";"-39,021";"-710,2603";"-25,6355";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,833";"-141";"459";"-252";"244";"-138,4897";"521,6898";"-255,4365";"240,6432";"-553,1394";"116,6003";"-173";"375";"-551";"118";"-561";"-182";"-255,4365";"240,6432";"-489,2308";"-134,6853";"-504,3357";"-39,021";"-715,2221";"-25,6355";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,875";"-142";"459";"-251";"243";"-139,2858";"518,5054";"-253,7825";"237,3354";"-549,8315";"119,9081";"-174";"375";"-551";"118";"-561";"-181";"-253,7825";"238,9893";"-509,3706";"-124,6154";"-511,8881";"-49,09088";"-716,876";"-28,94342";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,917";"-143";"458";"-248,3512";"237,4828";"-140,878";"521,6898";"-248,8209";"237,3354";"-551,4854";"116,6003";"-173";"374";"-551";"118";"-561";"-181";"-250,4747";"235,6815";"-499,3007";"-127,1329";"-496,7832";"-44,05603";"-711,9142";"-23,98163";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2,958";"-144";"458";"-253,9239";"235,8906";"-141,6741";"520,8937";"-255,4365";"237,3354";"-551,4854";"119,9081";"-174";"374";"-552";"118";"-562";"-181";"-257,0903";"235,6815";"-514,4056";"-122,0979";"-506,8531";"-46,57343";"-713,5681";"-25,6355";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3";"-145";"458";"-254";"236";"-144,8585";"516,9131";"-257,0903";"235,6815";"-553,1394";"116,6003";"-174";"374";"-553";"118";"-563";"-180";"-258,7443";"237,3354";"-506,8531";"-119,5804";"-501,8182";"-46,57343";"-715,2221";"-25,6355";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,042";"-146";"458";"-251,5356";"227,9297";"-143,2663";"519,3015";"-253,7825";"225,7581";"-553,1394";"116,6003";"-174";"374";"-554";"116,3461";"-563";"-180";"-252,1287";"225,7581";"-504,3357";"-129,6503";"-506,8531";"-56,64337";"-718,5299";"-28,94342";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,083";"-148,0428";"454,8175";"-255,5161";"229,5219";"-145,6545";"514,5249";"-257,0903";"229,0659";"-556,4472";"119,9081";"-176";"375";"-553";"119";"-564";"-179";"-260,3982";"230,7198";"-499,3007";"-127,1329";"-491,7483";"-56,64337";"-718,5299";"-30,59723";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,125";"-146,4507";"454,8175";"-255,5161";"235,8906";"-147,2468";"516,9131";"-257,0903";"235,6815";"-553,1394";"121,562";"-176";"375";"-554";"119";"-565";"-179";"-260,3982";"237,3354";"-501,8182";"-134,6853";"-504,3357";"-49,09088";"-716,876";"-28,94342";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,167";"-149,6351";"454,8175";"-256,3122";"229,5219";"-147,2468";"515,321";"-258,7443";"229,0659";"-554,7933";"121,562";"-176";"375";"-557";"119";"-566";"-179";"-260,3982";"229,0659";"-491,7483";"-124,6154";"-509,3706";"-49,09088";"-723,4916";"-30,59723";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,208";"-154,4116";"450,837";"-260,2927";"239,075";"-148,839";"515,321";"-260,3982";"240,6432";"-558,1011";"119,9081";"-177";"375";"-558";"119";"-566";"-178";"-262,0521";"238,9893";"-489,2308";"-132,1678";"-501,8182";"-51,6084";"-721,8377";"-20,67383";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,25";"-154,4116";"452,4292";"-250,7395";"276,4916";"-150,4312";"515,321";"-251";"275";"-559,755";"123,2159";"-177";"375";"-559";"119";"-566";"-178";"-250,4747";"275,3752";"-509,3706";"-132,1678";"-504,3357";"-46,57343";"-718,5299";"-25,6355";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,292";"-156,7999";"450,041";"-258,7004";"251,0165";"-153";"513";"-258,7443";"247,2588";"-559,755";"119,9081";"-178";"375";"-560";"119";"-567";"-177";"-262,0521";"245,6049";"-501,8182";"-114,5455";"-504,3357";"-39,021";"-723,4916";"-27,28943";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,333";"-158";"451";"-266,6614";"247,8321";"-155";"512";"-265,3599";"248,9127";"-563,0628";"118,2542";"-178";"374";"-561";"119";"-567";"-177";"-267,0138";"247,2588";"-486,7133";"-124,6154";"-501,8182";"-41,53851";"-723,4916";"-27,28943";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,375";"-160";"450";"-261,0887";"248,6282";"-156";"511";"-262,0521";"247,2588";"-559,755";"119,9081";"-177";"373";"-561";"119";"-567";"-176";"-262,0521";"247,2588";"-511,8881";"-112,028";"-509,3706";"-33,98602";"-725,1455";"-28,94342";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,417";"-162";"450";"-261,8849";"242,2594";"-158";"510";"-262,0521";"243,951";"-561,4089";"119,9081";"-178";"373";"-562";"119";"-567";"-175";"-260,3982";"245,6049";"-489,2308";"-114,5455";"-499,3007";"-39,021";"-718,5299";"-23,98163";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,458";"-164";"449";"-261,0887";"246,2399";"-160";"509";"-262,0521";"245,6049";"-563,0628";"121,562";"-178";"373";"-563";"119";"-567";"-175";"-262,0521";"245,6049";"-506,8531";"-114,5455";"-519,4406";"-21,39862";"-723,4916";"-23,98163";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,5";"-165";"449";"-255,5161";"247,8321";"-162";"508";"-257,0903";"245,6049";"-564,7167";"119,9081";"-179";"373";"-563";"119";"-567";"-175";"-257,0903";"245,6049";"-511,8881";"-104,4755";"-514,4056";"-21,39862";"-720,1838";"-19,0199";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,542";"-167";"449";"-263,4771";"244,6477";"-164";"507";"-263,706";"245,6049";"-563,0628";"119,9081";"-180";"373";"-563";"119";"-567";"-174";"-262,0521";"245,6049";"-516,9231";"-127,1329";"-501,8182";"-54,12592";"-721,8377";"-15,7121";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,583";"-170";"448";"-257,9044";"247,036";"-167";"506";"-258,7443";"245,6049";"-563,0628";"118,2542";"-180";"371";"-563";"119";"-567";"-174";"-258,7443";"243,951";"-524,4755";"-152,3077";"-511,8881";"-71,74823";"-716,876";"-15,7121";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,625";"-172";"448";"-260,2927";"241,4633";"-169";"505";"-260,3982";"242,2971";"-563,0628";"118,2542";"-183";"371";"-563";"119";"-567";"-173";"-260,3982";"240,6432";"-506,8531";"-139,7203";"-521,958";"-49,09088";"-721,8377";"-17,36603";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,667";"-176";"448";"-255,5161";"242,2594";"-175,9063";"505,7678";"-257,0903";"242,2971";"-561,4089";"119,9081";"-184";"369";"-563";"119";"-568";"-172";"-258,7443";"242,2971";"-511,8881";"-132,1678";"-521,958";"-39,021";"-718,5299";"-14,05823";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,708";"-179";"447";"-273,8263";"212,0077";"-179";"505";"-275,2448";"212,7273";"-564,7167";"118,2542";"-186";"368";"-564";"119";"-568";"-172";"-275,2448";"210,2098";"-504,3357";"-134,6853";"-519,4406";"-36,50348";"-718,5299";"-10,75043";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,75";"-182";"445";"-261,0887";"222,357";"-182";"503";"-262,6573";"222,7972";"-563,0628";"118,2542";"-188";"367";"-566,5175";"119";"-569";"-172";"-265,1748";"222,7972";"-499,3007";"-137,2028";"-511,8881";"-46,57343";"-723,4916";"-7,442627";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,792";"-183,8672";"449,2448";"-265,72";"234,6672";"-186,1102";"493,8263";"-267,6923";"232,8671";"-551,4854";"123,2159";"-190";"366";"-549,8315";"121,562";"-569";"-171";"-267,6923";"235,3846";"-494,2657";"-137,2028";"-501,8182";"-49,09088";"-723,4916";"-9,096497";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,833";"-186,1102";"446,0605";"-264,1278";"239,075";"-188";"494";"-265,3599";"238,9893";"-554,7933";"124,8698";"-192";"365";"-553,1394";"123,2159";"-570";"-171";"-263,706";"240,6432";"-494,2657";"-159,8602";"-504,3357";"-49,09088";"-723,4916";"-0,8270264";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,875";"-190";"447";"-266";"240";"-193";"494";"-267,0138";"242,2971";"-554,7933";"119,9081";"-194";"364";"-553,1394";"119,9081";"-571";"-170";"-267,0138";"242,2971";"-509,3706";"-147,2727";"-506,8531";"-56,64337";"-725,1455";"2,480774";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,917";"-193,2751";"442,08";"-265,72";"247,036";"-198";"489";"-267,0138";"247,2588";"-561,4089";"131,4854";"-194";"363";"-558,1011";"134,7933";"-571";"-169";"-267,0138";"247,2588";"-506,8531";"-132,1678";"-509,3706";"-39,021";"-728,4533";"9,096497";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3,958";"-194,8672";"439,6917";"-264,1278";"244,6477";"-200";"490";"-265,3599";"243,951";"-556,4472";"139,755";"-196";"363";"-556,4472";"139,755";"-571";"-168";"-263,706";"243,951";"-499,3007";"-129,6503";"-509,3706";"-26,43359";"-723,4916";"10,75043";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4";"-198";"440";"-270,4966";"243,0555";"-204,4204";"493,8263";"-271,9755";"243,951";"-556,4472";"136,4472";"-198";"363";"-554,7933";"133,1394";"-571";"-166";"-271,9755";"243,951";"-511,8881";"-132,1678";"-509,3706";"-16,36359";"-721,8377";"20,67383";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4,042";"-201";"438";"-269,7004";"251,0165";"-207";"494";"-270,3216";"250,5666";"-556,4472";"124,8698";"-199";"362";"-558,1011";"126,5237";"-572";"-164";"-271,9755";"250,5666";"-499,3007";"-124,6154";"-509,3706";"-18,8811";"-721,8377";"25,63562";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4,083";"-203";"438";"-268,1083";"245,4438";"-210";"494";"-270,3216";"243,951";"-551,4854";"143,0628";"-199";"361";"-549,8315";"141,4089";"-572";"-163";"-268,6677";"245,6049";"-519,4406";"-117,0629";"-504,3357";"-3,776184";"-732";"41";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4,125";"-206";"437";"-269";"247";"-214";"491";"-271,9755";"243,951";"-554,7933";"148,0245";"-200";"361";"-553,1394";"146,3706";"-573";"-160";"-271,9755";"243,951";"-521,958";"-112,028";"-516,9231";"1,258728";"-732";"41";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4,167";"-209";"436";"-264,9239";"252,6087";"-217";"490";"-267,0138";"252,2205";"-563,0628";"144,7167";"-202";"361";"-563,0628";"143,0628";"-573";"-156";"-267,0138";"253,8744";"-519,4406";"-124,6154";"-501,8182";"-31,46851";"-735";"43";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4,208";"-210";"436";"-266,5161";"247,8321";"-222,7307";"486,6614";"-267,0138";"247,2588";"-554,7933";"134,7933";"-202";"360";"-554,7933";"134,7933";"-574";"-153";"-267,0138";"247,2588";"-521,958";"-117,0629";"-499,3007";"-11,32867";"-735";"47";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4,25";"-211";"436";"-260,1473";"250,2204";"-223,5268";"485,0692";"-260,3982";"250,5666";"-559,755";"146,3706";"-202";"359";"-560";"145";"-575";"-150";"-260,3982";"252,2205";"-526,993";"-114,5455";"-496,7832";"-21,39862";"-736";"51";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4,292";"-212";"436";"-264,1278";"257,3853";"-227,5073";"480,2927";"-265,3599";"255,5283";"-563,0628";"149,6784";"-202";"358";"-561";"149";"-576";"-147";"-263,706";"255,5283";"-506,8531";"-117,0629";"-494,2657";"-23,91608";"-732";"59";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4,333";"-213";"436";"-263,3317";"253,4048";"-229,8956";"478,7005";"-263,706";"252,2205";"-559,755";"154,6401";"-202";"357";"-560";"155";"-578";"-143";"-265,3599";"252,2205";"-529,5105";"-122,0979";"-496,7832";"-28,95099";"-736";"61";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4,375";"-215,5658";"430,9346";"-257,759";"254,2009";"-233,08";"473,1278";"-260,3982";"250,5666";"-558,1011";"161,2557";"-202";"356";"-559";"162";"-580";"-138";"-257,0903";"252,2205";"-524,4755";"-112,028";"-496,7832";"-6,293701";"-738";"67";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
