"Time";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"cd/o/X";"cd/o/Y";"cd/a/X";"cd/a/Y";"cd/b/X";"cd/b/Y";"ep/o/X";"ep/o/Y";"ep/a/X";"ep/a/Y";"ep/b/X";"ep/b/Y";"cou/o/X";"cou/o/Y";"cou/a/X";"cou/a/Y";"cou/b/X";"cou/b/Y";"cd/o/X";"cd/o/Y";"cd/a/X";"cd/a/Y";"cd/b/X";"cd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"Angle 183/o/X";"Angle 183/o/Y";"Angle 183/a/X";"Angle 183/a/Y";"Angle 183/b/X";"Angle 183/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y";"pd/o/X";"pd/o/Y";"pd/a/X";"pd/a/Y";"pd/b/X";"pd/b/Y"
"0,417";"-16,19897";"492,2341";"-176,2146";"286,0448";"3,703491";"532,8351";"-175";"285";"-498,5605";"146,3706";"-106";"395";"-495";"146";"-511";"-211";"-176,049";"286,9525";"-471,6084";"-79,30072";"-421,2587";"41,53851";"-758,6014";"-18,8811";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,458";"-24";"492";"-188,9522";"280,4721";"-4,257385";"532,0391";"-186";"282";"-505,1761";"138,1011";"-114";"390";"-504";"137";"-512";"-217";"-187,6263";"283,6447";"-474,1259";"-69,23077";"-438,8811";"39,021";"-735,9441";"-16,36359";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,5";"-28";"491";"-197";"276";"-12,21838";"531,2429";"-194";"277";"-508,4839";"129,8315";"-122";"385";"-510";"128";"-511";"-221";"-194,2419";"277,0291";"-476,6433";"-86,85309";"-443,9161";"23,91608";"-748,5315";"-33,98602";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,542";"-31";"489";"-199,3015";"273,3072";"-16,19897";"531,2429";"-199";"271";"-511,7917";"121,562";"-126";"379";"-512";"121";"-511";"-224";"-202,5115";"270,4135";"-476,6433";"-96,9231";"-456,5035";"21,39862";"-735,9441";"-23,91608";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,583";"-37,23798";"483,4771";"-204,0781";"266,9384";"-19,38342";"530,4468";"-204,1654";"263,7979";"-513,4456";"118,2542";"-130";"375";"-515";"115";"-511";"-226";"-205,8193";"263,7979";"-474,1259";"-84,33569";"-459,021";"13,84613";"-725,8741";"-46,57343";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,625";"-39";"483";"-213,1756";"260,5696";"-25,29651";"528,0585";"-212,4349";"262,144";"-515,0995";"113,2925";"-132";"372";"-515";"113";"-512";"-227";"-214,0888";"260,4901";"-471,6084";"-114,5455";"-469,0909";"-13,84613";"-743";"-124";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,667";"-40";"486";"-215,1083";"262,1619";"-24,84088";"527,2625";"-213,9717";"263,7541";"-515,0995";"114,9464";"-138";"372";"-514";"113";"-513";"-226";"-215,7427";"262,144";"-476,6433";"-114,5455";"-471,6084";"-3,776184";"-698,1818";"-31,46851";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,708";"-41";"486";"-220";"262";"-24,50232";"527,2625";"-220";"261";"-516,7534";"114,9464";"-141";"371";"-514";"112";"-513";"-223";"-222,3583";"260,4901";"-466,5734";"-124,6154";"-471,6084";"-13,84613";"-673,007";"-23,91608";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,75";"-40";"486";"-223";"260";"-25,29852";"531,2429";"-222";"259";"-513,4456";"111,6386";"-142";"369";"-513";"111";"-514";"-220";"-222,3583";"258,8362";"-469,0909";"-124,6154";"-476,6433";"-21,39862";"-720,8392";"-49,09088";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,792";"-39";"486";"-224";"258";"-27,68671";"528,0585";"-230,6279";"257,1823";"-513,4456";"113,2925";"-142";"368";"-512";"111";"-514";"-217";"-230,6279";"257,1823";"-489,2308";"-129,6503";"-491,7483";"-26,43359";"-738,4615";"-86,85309";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,833";"-37";"487";"-224";"257";"-22,11401";"525,6702";"-224";"257";"-515,0995";"113,2925";"-142";"368";"-512";"110";"-515";"-214";"-220,7045";"258,8362";"-471,6084";"-129,6503";"-476,6433";"-39,021";"-753,5664";"-86,85309";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,875";"-35";"488";"-224";"256";"-17,33752";"527,2625";"-224";"256";"-525,023";"106,6769";"-142";"368";"-523,3691";"105,023";"-516";"-211";"-225,6661";"255,5283";"-476,6433";"-144,7552";"-491,7483";"-39,021";"-739";"-111";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,917";"-33";"488";"-224";"256";"-18,92969";"529,6508";"-223";"255";"-523,3691";"106,6769";"-140";"367";"-524";"106";"-518";"-209";"-224,0123";"255,5283";"-474,1259";"-139,7203";"-476,6433";"-41,53851";"-739";"-109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"0,958";"-31";"489";"-223";"256";"-15,74518";"529,6508";"-222";"255";"-525,023";"108,3308";"-138";"368";"-524";"106";"-519";"-207";"-220,7045";"255,5283";"-469,0909";"-144,7552";"-476,6433";"-46,57343";"-740";"-107";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"-29";"489";"-222";"256";"-10,17261";"524,078";"-221";"256";"-523,3691";"108,3308";"-137";"369";"-523";"106";"-519";"-206";"-222,3583";"258,8362";"-464,0559";"-137,2028";"-469,0909";"-59,16083";"-739";"-105";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,042";"-22,91022";"485,8654";"-221";"257";"-4,599915";"528,8546";"-220";"256";"-521,7152";"106,6769";"-136";"370";"-522";"106";"-519";"-205";"-220,7045";"255,5283";"-456,5035";"-152,3077";"-461,5385";"-61,67828";"-738";"-104";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,083";"-22";"485";"-210,8282";"256,5892";"-3,337524";"524,8741";"-211,5116";"255,5245";"-523,3691";"106,6769";"-134";"371";"-521";"106";"-520";"-205";"-210,781";"257,1823";"-479,1608";"-149,7902";"-481,6783";"-61,67828";"-738";"-103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,125";"-24,03601";"482,6809";"-216,6917";"255,7931";"-4,133484";"525,6702";"-215";"256";"-521,7152";"105,023";"-133";"372";"-521";"106";"-520";"-204";"-215,7427";"257,1823";"-476,6433";"-142,2378";"-481,6783";"-66,71332";"-737";"-102";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,167";"-27";"483";"-215";"257";"-12,09448";"527,2625";"-214";"257";"-520,0612";"108,3308";"-130";"373";"-520";"106";"-520";"-204";"-212,4349";"258,8362";"-489,2308";"-142,2378";"-491,7483";"-64,1958";"-736";"-100";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,208";"-28,81262";"482,6809";"-211,9151";"258,9774";"-13,68671";"525,6702";"-213";"257";"-520,0612";"106,6769";"-131";"374";"-520";"106";"-520";"-203";"-215,7427";"257,1823";"-479,1608";"-147,2727";"-476,6433";"-66,71332";"-735";"-99";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,25";"-32,79309";"481,8849";"-212";"260";"-19,2594";"526,4663";"-213";"258";"-520,0612";"108,3308";"-131";"375";"-520";"106";"-521";"-202";"-215,7427";"258,8362";"-486,7133";"-139,7203";"-481,6783";"-64,1958";"-735";"-99";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,292";"-39";"480";"-212";"260";"-24,83209";"524,078";"-213";"259";"-518,4073";"108,3308";"-131";"375";"-519";"106";"-521";"-202";"-212,4349";"260,4901";"-471,6084";"-137,2028";"-479,1608";"-49,09088";"-734";"-98";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1,333";"-45";"478";"-212";"260";"-33,58917";"522,4858";"-213";"258";"-520,0612";"106,6769";"-132";"376";"-520";"106";"-521";"-201";"-214,0888";"258,8362";"-464,0559";"-137,2028";"-469,0909";"-51,6084";"-735";"-98";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
